"","Year","State","FIPS","County_name","State_name","Commodity","Data item","Irrigated","Yield"
"1",2008,31,31019,"BUFFALO","NEBRASKA","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,173
"2",2008,31,31019,"BUFFALO","NEBRASKA","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,182
"3",2008,31,31041,"CUSTER","NEBRASKA","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,163
"4",2008,31,31041,"CUSTER","NEBRASKA","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,182
"5",2008,31,31047,"DAWSON","NEBRASKA","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,177
"6",2008,31,31047,"DAWSON","NEBRASKA","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,180
"7",2008,31,31077,"GREELEY","NEBRASKA","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,172
"8",2008,31,31077,"GREELEY","NEBRASKA","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,184
"9",2008,31,31079,"HALL","NEBRASKA","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,171
"10",2008,31,31079,"HALL","NEBRASKA","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,175
"11",2008,31,31093,"HOWARD","NEBRASKA","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,164
"12",2008,31,31093,"HOWARD","NEBRASKA","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,175
"13",2008,31,31163,"SHERMAN","NEBRASKA","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,170
"14",2008,31,31163,"SHERMAN","NEBRASKA","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,187
"15",2008,31,31175,"VALLEY","NEBRASKA","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,171
"16",2008,31,31175,"VALLEY","NEBRASKA","CORN","CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",1,179
"17",2008,31,31023,"BUTLER","NEBRASKA","CORN","CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",0,160
